| File                                                                                        | % Lines            | % Statements       | % Branches        | % Funcs           |
|---------------------------------------------------------------------------------------------|--------------------|--------------------|-------------------|-------------------|
| contracts/Verification.sol                                                                  | 0.00% (0/3)        | 0.00% (0/4)        | 100.00% (0/0)     | 0.00% (0/2)       |
| contracts/access-control/AccessControlMixin.sol                                             | 100.00% (2/2)      | 100.00% (2/2)      | 50.00% (1/2)      | 100.00% (1/1)     |
| contracts/access-control/AccessControlProxy.sol                                             | 30.43% (7/23)      | 30.43% (7/23)      | 25.00% (3/12)     | 70.00% (7/10)     |
| contracts/access-control/Whitelist.sol                                                      | 0.00% (0/16)       | 0.00% (0/20)       | 0.00% (0/4)       | 0.00% (0/5)       |
| contracts/exchanges/ExchangeAggregator.sol                                                  | 97.30% (36/37)     | 97.83% (45/46)     | 55.56% (10/18)    | 100.00% (7/7)     |
| contracts/exchanges/ExchangeHelper.sol                                                      | 82.98% (39/47)     | 84.31% (43/51)     | 50.00% (10/20)    | 87.50% (7/8)      |
| contracts/exchanges/adapters/TestAdapter.sol                                                | 100.00% (12/12)    | 100.00% (13/13)    | 50.00% (3/6)      | 66.67% (2/3)      |
| contracts/harvester/Harvester.sol                                                           | 87.01% (67/77)     | 89.36% (84/94)     | 55.56% (20/36)    | 81.82% (9/11)     |
| contracts/price-feeds/ValueInterpreter.sol                                                  | 58.40% (73/125)    | 56.39% (75/133)    | 37.80% (31/82)    | 55.56% (10/18)    |
| contracts/price-feeds/custom/CustomEthPriceFeed.sol                                         | 80.00% (4/5)       | 83.33% (5/6)       | 100.00% (0/0)     | 75.00% (3/4)      |
| contracts/price-feeds/custom/CustomFakePriceFeed.sol                                        | 0.00% (0/4)        | 0.00% (0/4)        | 100.00% (0/0)     | 0.00% (0/4)       |
| contracts/price-feeds/custom/CustomFrxEthPriceFeed.sol                                      | 81.82% (18/22)     | 85.71% (24/28)     | 50.00% (4/8)      | 66.67% (4/6)      |
| contracts/price-feeds/custom/CustomPriceFeedAggregator.sol                                  | 72.73% (8/11)      | 72.73% (8/11)      | 50.00% (2/4)      | 85.71% (6/7)      |
| contracts/price-feeds/custom/CustomSEthPriceFeed.sol                                        | 80.95% (17/21)     | 85.19% (23/27)     | 50.00% (4/8)      | 60.00% (3/5)      |
| contracts/price-feeds/custom/CustomSfrxEthPriceFeed.sol                                     | 82.61% (19/23)     | 86.21% (25/29)     | 50.00% (4/8)      | 71.43% (5/7)      |
| contracts/price-feeds/custom/CustomWstEthPriceFeed.sol                                      | 60.00% (6/10)      | 60.00% (9/15)      | 100.00% (0/0)     | 50.00% (2/4)      |
| contracts/price-feeds/derivatives/AggregatedDerivativePriceFeed.sol                         | 0.00% (0/30)       | 0.00% (0/36)       | 0.00% (0/26)      | 0.00% (0/8)       |
| contracts/price-feeds/primitives/ChainlinkPriceFeed.sol                                     | 42.15% (51/121)    | 40.14% (59/147)    | 25.81% (16/62)    | 44.44% (12/27)    |
| contracts/price-feeds/primitives/UniswapV3PriceFeed.sol                                     | 43.18% (19/44)     | 45.45% (25/55)     | 17.86% (5/28)     | 60.00% (6/10)     |
| contracts/strategy/BaseClaimableStrategy.sol                                                | 0.00% (0/21)       | 0.00% (0/26)       | 0.00% (0/4)       | 0.00% (0/6)       |
| contracts/strategy/BaseStrategy.sol                                                         | 77.05% (47/61)     | 80.56% (58/72)     | 55.00% (11/20)    | 53.33% (8/15)     |
| contracts/test/Utils.sol                                                                    | 0.00% (0/11)       | 0.00% (0/17)       | 100.00% (0/0)     | 0.00% (0/3)       |
| contracts/token/PegToken.sol                                                                | 90.16% (55/61)     | 90.32% (56/62)     | 50.00% (12/24)    | 86.96% (20/23)    |
| contracts/treasury/Treasury.sol                                                             | 83.33% (5/6)       | 83.33% (5/6)       | 50.00% (1/2)      | 66.67% (4/6)      |
| contracts/util/Helpers.sol                                                                  | 0.00% (0/5)        | 0.00% (0/7)        | 0.00% (0/2)       | 0.00% (0/2)       |
| contracts/vault/Vault.sol                                                                   | 85.86% (431/502)   | 85.89% (548/638)   | 54.59% (119/218)  | 89.47% (51/57)    |
| contracts/vault/VaultAdmin.sol                                                              | 91.41% (117/128)   | 90.07% (136/151)   | 48.33% (29/60)    | 93.55% (29/31)    |
| contracts/vault/VaultBuffer.sol                                                             | 91.96% (103/112)   | 93.48% (129/138)   | 53.85% (28/52)    | 92.59% (25/27)    |
| contracts/vault/VaultStorage.sol                                                            | 0.00% (0/2)        | 0.00% (0/2)        | 0.00% (0/2)       | 0.00% (0/1)       |
